firstName,lastName,aveTime,winPercentage,fighterId
Nick,Thompson,56.53846153846154,71.69811320754717,279
Seichi,Ikemoto,112.04545454545455,46.666666666666664,280
Jacob,Volkmann,130.72,73.07692307692307,281
John,Alessio,117.90566037735849,64.81481481481481,282
Ryan,Healy,117.53846153846153,62.5,283
Kazuyuki,Miyata,214.75,64.0,284
Luiz,Azeredo,211.29166666666666,60.0,285
Masakazu,Imanari,135.68253968253967,62.5,286
Hiroyuki,Abe,197.92307692307693,29.629629629629626,287
Kohei,Yasumi,198.64285714285714,40.0,288
Cliff,Wright,166.21875,36.36363636363637,289
Jon,Fitch,158.0,74.4186046511628,290
LaRue,Burley,226.92857142857142,73.33333333333333,291
Jake,Shields,154.15555555555557,71.73913043478261,292
Daniel,Roberts,132.71428571428572,68.18181818181817,293
Forrest,Petz,118.77142857142857,72.22222222222221,294
Brock,Larson,95.23529411764706,80.76923076923077,295
Nathan,Coy,164.66666666666666,68.18181818181817,296
Steve,Carl,149.59259259259258,78.57142857142857,297
Sheymon,Moraes,216.61904761904762,72.72727272727273,298
Justin,Gaethje,159.31034482758622,83.33333333333334,299
Jorge,Patino,167.86885245901638,62.903225806451616,300
Charles,Bennett,116.78205128205128,39.24050632911392,301
Daron,Cruickshank,116.70270270270271,60.526315789473685,302
Takanori,Gomi,140.86274509803923,69.23076923076923,303
Israel,Adesanya,167.75,82.75862068965517,304
Muslim,Salikhov,194.92,80.76923076923077,305
Chidi,Njokuani,182.0,68.57142857142857,306
Mac,Danzig,170.02941176470588,62.857142857142854,307
Waylon,Lowe,151.375,64.0,308
Gabe,Ruediger,155.12,69.23076923076923,309
Marcus,Davis,196.0,65.71428571428571,310
John,Gunderson,82.92307692307692,66.0377358490566,311
Isaac,Vallie-Flagg,206.6086956521739,66.66666666666666,312
Justin,Wilcox,142.95238095238096,63.63636363636363,313
Vítor,Ribeiro,137.625,80.0,314
Nam,Phan,152.2972972972973,55.26315789473685,315
Rani,Yahya,192.58536585365854,66.66666666666666,316
Hiroyuki,Takaya,143.1578947368421,58.97435897435898,317
Hidetaka,Monma,143.84375,54.54545454545454,318
Ryan,Schultz,103.08108108108108,60.526315789473685,319
Andre,Winner,146.97222222222223,59.45945945945946,320
Kevin,Knabjian,170.3684210526316,60.0,321
Matt,Veach,180.28571428571428,77.27272727272727,322
Tyler,Stinson,157.525,75.60975609756098,323
Ferrid,Kheder,88.03030303030303,64.70588235294117,324
Jesse,Taylor,124.12244897959184,66.0,325
Mark,Weir,119.15384615384616,52.5,326
Anthony,Lapsley,186.53125,69.6969696969697,327
Keita,Nakamura,149.36,70.58823529411765,328
Karo,Parisyan,189.52777777777777,64.86486486486487,329
Josh,Koscheck,177.59259259259258,60.71428571428571,330
Kenny,Florian,167.26315789473685,70.0,331
Dennis,Hallman,94.98666666666666,69.73684210526315,332
Edwin,Dewees,94.55357142857143,66.66666666666666,333
Alateng,Heili,143.07407407407408,60.71428571428571,334
Brian,Kelleher,125.12820512820512,60.0,335
Alex,Caceres,157.36111111111111,56.75675675675676,336
John,Macapá,163.05128205128204,67.5,337
Darrick,Minner,94.23076923076923,65.0,338
Matt,Bessette,146.17142857142858,69.44444444444444,339
Rasul,Mirzaev,243.13636363636363,82.6086956521739,340
Bryan,Goldsby,81.8125,51.515151515151516,341
Yaotzin,Meza,137.03030303030303,64.70588235294117,342
Drew,Dober,133.3658536585366,64.28571428571429,343
Davi,Ramos,289.22222222222223,63.1578947368421,344
Kajan,Johnson,163.45945945945945,60.526315789473685,345
Chris,Wade,133.65625,69.6969696969697,346
Mansour,Barnaoui,186.37037037037038,78.57142857142857,347
Matt,Frevola,225.3125,64.70588235294117,348
Niklas,Stolze,187.28571428571428,63.63636363636363,349
Elizeu,Zaleski,166.06060606060606,73.52941176470588,350
Jalin,Turner,141.66666666666666,63.63636363636363,351
Claudio,Puelles,258.26666666666665,75.0,352
Nasrat,Haqparast,202.6818181818182,78.26086956521739,353
Gilbert,Burns,158.82758620689654,73.33333333333333,354
Jason,Knight,178.41935483870967,71.875,355
Mark,Eddiva,453.375,66.66666666666666,356
Raush,Manfio,206.7391304347826,70.83333333333334,358
Stephen,Thompson,214.24,65.38461538461539,359
Alex,Karalexis,203.86666666666667,62.5,360
Damon,Jackson,138.6875,69.6969696969697,361
Gabriel,Benítez,179.94117647058823,65.71428571428571,362
Joe,Solecki,166.44444444444446,68.42105263157895,363
Vinc,Pichel,316.2352941176471,77.77777777777779,364
Duane,Ludwig,135.88235294117646,60.0,366
Gray,Maynard,216.71428571428572,59.09090909090909,367
David,Baron,248.0,77.27272727272727,368
Anthony,Morrison,151.15625,60.60606060606061,369
Kevin,Roddy,119.84375,45.45454545454545,370
Joel,Álvarez,166.83333333333334,88.0,371
Ivan,Jorge,173.14705882352942,77.14285714285715,372
Jake,Lindsey,167.68,57.692307692307686,373
Emmanuel,Sanchez,146.75,66.66666666666666,374
Damir,Hadžović,264.6666666666667,63.63636363636363,375
Gregor,Gillespie,190.07142857142858,93.33333333333333,376
Erick,Silva,165.51612903225808,62.5,377
Sean,Spencer,188.16666666666666,63.1578947368421,378
Joe,Proctor,211.4,68.75,379
Rustam,Khabilov,165.96296296296296,85.71428571428571,380
Raul,Castillo,462.0,87.5,381
Grant,Dawson,152.0,88.46153846153845,382
Mairbek,Taisumov,143.0625,81.81818181818183,383
Kyle,Nelson,207.13636363636363,69.56521739130434,384
Colton,Smith,231.72727272727272,58.333333333333336,385
Sam,Sicilia,181.92857142857142,62.06896551724138,386
Vener,Galiev,150.19607843137254,69.23076923076923,387
Satoru,Kitaoka,105.98765432098766,54.87804878048781,388
Murad,Machaev,143.25,88.0,389
Jimy,Hettes,164.30769230769232,78.57142857142857,390
Daniel,Pineda,136.14893617021278,58.333333333333336,391
Raphael,Assunção,188.83783783783784,73.68421052631578,392
Francisco,Rivera,207.3448275862069,53.333333333333336,393
Bendy,Casimir,157.56756756756758,55.26315789473685,394
Jameel,Massouh,67.70588235294117,74.28571428571429,395
Hakeem,Dawodu,203.47058823529412,72.22222222222221,396
Jonathan,Martinez,163.91666666666666,76.0,397
Kron,Gracie,519.5714285714286,62.5,398
Hacran,Dias,178.6153846153846,67.5,399
George,Roop,130.03571428571428,51.724137931034484,400
Mackens,Semerzier,126.0,61.53846153846154,401
John,Franchi,158.0,75.0,402
Donny,Walker,133.91666666666666,60.0,403
Jens,Pulver,115.80434782608695,57.446808510638306,404
Charlie,Valencia,225.94444444444446,63.1578947368421,405
Shannon,Gugerty,139.0,68.18181818181817,406
Mike,Corey,205.625,76.47058823529412,407
Tom,Niinimäki,169.86666666666667,70.96774193548387,408
Shintaro,Ishiwatari,146.8684210526316,66.66666666666666,409
Yosdenis,Cedeno,202.66666666666666,57.89473684210527,410
Yves,Jabouin,173.86666666666667,64.51612903225806,411
Mark,Hominick,122.83870967741936,62.5,412
Masanori,Kanehara,151.1304347826087,61.702127659574465,413
Zhang,Tiequan,142.27777777777777,78.94736842105263,414
Sergej,Grecicho,138.5,67.56756756756756,415
Charlie,Brenneman,102.3076923076923,70.37037037037037,416
Tim,Means,147.27450980392157,63.46153846153846,417
Shamar,Bailey,113.92307692307692,59.25925925925925,418
Phil,Cardella,238.0,61.53846153846154,419
Song,Kenan,127.66666666666667,70.96774193548387,420
Charles,Byrd,253.75,58.82352941176471,422
Andrey,Koreshkov,156.15625,84.84848484848484,423
Brian,Melancon,186.33333333333334,70.0,424
Todd,Moore,148.22727272727272,69.56521739130434,425
Adam,Schindler,116.13333333333334,62.5,426
Alvin,Robinson,170.3913043478261,62.5,427
Mario,Bautista,168.75,88.23529411764706,428
Merab,Dvalishvili,182.36363636363637,82.6086956521739,429
Rob,Font,166.55172413793105,73.33333333333333,430
Pedro,Munhoz,184.03225806451613,62.5,431
